Info 0    [16:12:58.172] Starting TS Server
Info 33   [16:16:55.466] DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/e28b5e1fa1166032db9c66a8ed9e610e.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 34   [16:16:55.467] Elapsed:: 0.07670891284942627ms DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/e28b5e1fa1166032db9c66a8ed9e610e.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 35   [16:16:55.467] DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/e28b5e1fa1166032db9c66a8ed9e610e.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 36   [16:16:55.467] Elapsed:: 0.01737499237060547ms DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/e28b5e1fa1166032db9c66a8ed9e610e.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 37   [16:17:34.526] DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/98ca5fa272e06aae0c7f231b3e4f8d57.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 38   [16:17:34.528] Elapsed:: 0.24812495708465576ms DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/98ca5fa272e06aae0c7f231b3e4f8d57.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 39   [16:17:34.528] DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/98ca5fa272e06aae0c7f231b3e4f8d57.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 40   [16:17:34.528] Elapsed:: 0.08595907688140869ms DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/98ca5fa272e06aae0c7f231b3e4f8d57.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 41   [16:18:10.743] DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/fd88c59798c24e5795a180b0ed9fb994.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 42   [16:18:10.744] Elapsed:: 0.2976670265197754ms DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/fd88c59798c24e5795a180b0ed9fb994.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 43   [16:18:10.744] DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/fd88c59798c24e5795a180b0ed9fb994.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 44   [16:18:10.744] Elapsed:: 0.07145798206329346ms DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/fd88c59798c24e5795a180b0ed9fb994.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 45   [16:18:24.351] DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/958eb372371f274508dbd1b816054f59.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 46   [16:18:24.352] Elapsed:: 0.18454205989837646ms DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/958eb372371f274508dbd1b816054f59.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 47   [16:18:24.352] DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/958eb372371f274508dbd1b816054f59.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 48   [16:18:24.352] Elapsed:: 0.05041611194610596ms DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/958eb372371f274508dbd1b816054f59.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
